"population","n","definition"
"Exported records",48,"All records in the current SoSci export"
"Publication-eligible records",42,"At least one substantive answer; FINISHED is not used"
"Analysis population (valid BE02)",36,"Valid BE02 occupational role; FINISHED is not used"
