"block","variable","item_name_de","item_name_en","group","n_valid","n_selected","pct"
"SO04","SO04_03","Word (DOCX) oder andere Textverarbeitung","Word (DOCX) or other word processor","Architecture",8,2,25
"SO04","SO04_04","Excel (XLSX) oder andere Tabellenkalkulation","Excel (XLSX) or other spreadsheet software","Architecture",8,6,75
"SO04","SO04_05","AutoCAD (DWG, DXF etc.)","AutoCAD (DWG, DXF, etc.)","Architecture",8,7,87.5
"SO04","SO04_06","Proprietäre 3D-Formate (SKP, FBX, 3DM, etc.)","Proprietary 3D formats (SKP, FBX, 3DM, etc.)","Architecture",8,0,0
"SO04","SO04_07","Offene 3D-Formate (COLLADA, OBJ etc.)","Open 3D formats (COLLADA, OBJ, etc.)","Architecture",8,0,0
"SO04","SO04_08","Proprietäre BIM-Formate (RVT, PLN, VWX etc. )","Proprietary BIM formats (RVT, PLN, VWX, etc.)","Architecture",8,4,50
"SO04","SO04_09","Industry Foundation Classes (IFC)","IFC","Architecture",8,8,100
"SO04","SO04_10","BIM Collaboration Format (BCF)","BIM Collaboration Format (BCF)","Architecture",8,4,50
"SO04","SO04_11","Green Building XML (gbXML)","Green Building XML (gbXML)","Architecture",8,0,0
"SO04","SO04_01","PDF","PDF","MEP",15,15,100
"SO04","SO04_02","Rastergrafik (PNG, TIFF, JPEG etc.)","Raster image (PNG, TIFF, JPEG, etc.)","MEP",15,2,13.3333333333333
"SO04","SO04_03","Word (DOCX) oder andere Textverarbeitung","Word (DOCX) or other word processor","MEP",15,5,33.3333333333333
"SO04","SO04_04","Excel (XLSX) oder andere Tabellenkalkulation","Excel (XLSX) or other spreadsheet software","MEP",15,6,40
"SO04","SO04_05","AutoCAD (DWG, DXF etc.)","AutoCAD (DWG, DXF, etc.)","MEP",15,13,86.6666666666667
"SO04","SO04_06","Proprietäre 3D-Formate (SKP, FBX, 3DM, etc.)","Proprietary 3D formats (SKP, FBX, 3DM, etc.)","MEP",15,1,6.66666666666667
"SO04","SO04_07","Offene 3D-Formate (COLLADA, OBJ etc.)","Open 3D formats (COLLADA, OBJ, etc.)","MEP",15,0,0
